,OFFENSE,BLKADDR,City,State,Latitude,Longitude
61,VANDALISM,1200 BLOCK HOPKINS ST,Berkeley,CA,37.876428, -122.291736
62,VANDALISM,100 BLOCK ALVARADO RD,Berkeley,CA,37.857745, -122.23991
63,DOMESTIC VIOLENCE,1800 BLOCK WARD ST,Berkeley,CA,37.858673, -122.273365
64,BURGLARY AUTO,1200 BLOCK GILMAN ST,Berkeley,CA,37.881003, -122.293212
65,BURGLARY AUTO,400 GILMAN ST,Berkeley,CA,37.877863, -122.308855
66,THEFT FELONY (OVER $950),2700 BLOCK 9TH ST,Berkeley,CA,37.857336, -122.290797
67,THEFT MISD. (UNDER $950),1700 BLOCK SOLANO AVE,Berkeley,CA,37.891214, -122.282158
68,ASSAULT/BATTERY MISD.,1414 UNIVERSITY AVE,Berkeley,CA,37.870096, -122.283932
69,THEFT MISD. (UNDER $950),1400 BLOCK UNIVERSITY AVE,Berkeley,CA,37.870054, -122.284263
70,THEFT FROM AUTO,1700 BLOCK HEARST AVE,Berkeley,CA,37.872725, -122.277729
71,DISTURBANCE,2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
72,THEFT MISD. (UNDER $950),1300 BLOCK SAN PABLO AVE,Berkeley,CA,37.880228, -122.295798
73,VANDALISM,2000 BLOCK PARKER ST,Berkeley,CA,37.861843, -122.269644
74,BURGLARY RESIDENTIAL,2000 BLOCK DURANT AVE,Berkeley,CA,37.866426, -122.269762
75,THEFT MISD. (UNDER $950),2100 BLOCK SHATTUCK AVE,Berkeley,CA,37.871167, -122.268285
76,BRANDISHING,2100 BLOCK SAN PABLO AVE,Berkeley,CA,37.867501, -122.291709
77,THEFT MISD. (UNDER $950),1000 BLOCK GILMAN ST,Berkeley,CA,37.88014, -122.297498
78,DISTURBANCE,2400 BLOCK HILGARD AVE,Berkeley,CA,37.878373, -122.262902
79,DOMESTIC VIOLENCE,1300 BLOCK ROSE ST,Berkeley,CA,37.876897, -122.28868
80,ASSAULT/BATTERY FEL.,2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
81,THEFT FROM AUTO,1700 BLOCK SONOMA AVE,Berkeley,CA,37.886766, -122.282493
82,BURGLARY AUTO,1000 BLOCK GILMAN ST,Berkeley,CA,37.88014, -122.297498
83,THEFT FROM AUTO,1500 BLOCK ALCATRAZ AVE,Berkeley,CA,37.847908, -122.277685
84,THEFT MISD. (UNDER $950),2100 BLOCK SHATTUCK AVE,Berkeley,CA,37.871167, -122.268285
85,THEFT MISD. (UNDER $950),2100 BLOCK SHATTUCK AVE,Berkeley,CA,37.871167, -122.268285
86,VEHICLE STOLEN,1600 BLOCK TYLER ST,Berkeley,CA,37.852683, -122.276556
87,ASSAULT/BATTERY FEL.,2100 BLOCK WARD ST,Berkeley,CA,37.85948, -122.266689
88,THEFT MISD. (UNDER $950),1200 BLOCK SAN PABLO AVE,Berkeley,CA,37.882033, -122.296381
89,THEFT MISD. (UNDER $950),1000 BLOCK GILMAN ST,Berkeley,CA,37.88014, -122.297498
90,THEFT MISD. (UNDER $950),1000 BLOCK GILMAN ST,Berkeley,CA,37.88014, -122.297498
91,THEFT FROM AUTO,2400 BLOCK WARD ST,Berkeley,CA,37.860372, -122.25981
92,VEHICLE STOLEN,2600 BLOCK ETNA ST,Berkeley,CA,37.863823, -122.252575
93,VEHICLE STOLEN,900 BLOCK UNIVERSITY AVE,Berkeley,CA,37.868263, -122.296013
